userName,content,score,at
Wahyudin Gowasa,"Maaf sebelum nya saya,,, gak bisa registrasi..no rekening 13 dijit di batasi 13 dikit...sementara no rek kening saya 16 dijit ...mohon bantuan nya gan",4,2022-04-18 13:23:03
Yudi Hilman,Kok pertanggal april 2022 aplikasi ini tidak bisa digunakan?,1,2022-04-04 15:22:40
Sugi Sugian,Mantap,5,2022-04-02 22:09:50
Sadrakh Balinga,"Keren, ada penambahan VA, masukan selanjutnya apakah mungkin untuk betang mobile menambahkan fitur untuk pembayaran pajak dari e-billing. Terimakasih",5,2022-04-01 17:32:51
Rabiatul Adawiyah,"Tidak berguna, masa no mbangking di bilang tidak terdaftar,pdhl SDH bertahun2 dan masih aktif😂",1,2022-03-31 14:04:28
Firdaus Sancha,"Mohon penjelasan: kenapa sewaktu-waktu saya membuka, menjalankan applikasi ini tidak bisa di jalankan dgn keterangan, Login gagal harap registrasi kembali"" emang harus ya setiap menjalankan applikasi ini setiap itu pula kita registrasi ulang berkali-kali???atau, Apa kah sistem operasional applikasi Betang Mobile ini tidak bisa membaca, mengevaluasi data2 nasabah, pengguna yg sdh terdaftar di aplikasi??",1,2022-03-31 12:22:05
Doc On Holliday,Tolong Tambahi juga TOP Up Linkaza,5,2022-03-18 10:00:54
Infinix Sembilanbelas,"Buat iOS/iphone belum ada, mudahan secepatnya dibuat khusus ios",3,2022-03-18 09:04:16
Victor Yoga,Saya senang transaksi cepat ngga ribet,5,2022-03-10 09:59:09
Mandi Vera,Sangat membatu,5,2022-03-09 20:02:01
Imunita Handi,"Aneh saya mendaftar dibilang belum terdaftar sms banking,pdahal nyata² jauh hari sudah satfar sms banking sbelum dowload apk ini",1,2022-03-02 11:27:51
Taufik Yanhari Pratama,"Mau login ulang, minta Kode OTP aja susah amat",2,2022-03-02 10:07:41
iwar naifa,Ok,5,2022-02-23 10:55:30
Eva JJ Sakban,"Nyaman buat transaksi,, i like😊👍",5,2022-02-22 17:38:40
Rum Bandi,Sering salah pin,5,2022-02-22 00:41:33
Sah Bana,"Bank kalteng, maju terdepan luar biasa!!!",5,2022-02-13 22:20:41
Wendi Prayudi,"Tolong di update lg App ini, karena tidak bisa transfer ke BSI",3,2022-02-08 20:43:06
vijze crentz,Hai...mau nanya.. Kenapa no rek kita di buku tabungan dan di aplikasi betang mobile berbeda ??? Terima kasih,5,2022-02-03 18:05:08
surya tangguh,Mantap,5,2022-01-27 06:42:42
Azhar Hidayat,Kenapa untuk top up shopeey pay ga ada,5,2022-01-24 20:45:59
Yusep T. Aceng,"Maaf mohon ijin tanya gimana mendpt info transaksi dana masuk - keluar atau debet-kridit, trims 🙏",1,2022-01-24 07:28:12
Morgan Lee,Mohon di evaluasi lagi utk aplikasi betang mobile belum bisa di download utk pengguna iphone. harapannya segera bisa. biar memudahkan juga utk pengguna iphone,3,2022-01-22 08:55:10
dina naura,"Aplikasi ini sangat bagus, jdi sya bisa melihat dari mana uang masuk kluar. Maju terus bank kalteng",5,2022-01-19 10:55:20
Ardhu Utama Saputra,Muantap,5,2022-01-18 09:15:06
Mardianto sepang,Ok,5,2022-01-18 04:55:13
